Single CORE,Multi Core,GPU,SSD,RAM,Resolution,Single vs Multi workstation,,GOOD SINGLE,GOOD MULTI,GOOD GPU,GOOD SSD,GOOD RAM,GOOD FOR GAME AT CHOSEN RESOLUTION,GOOD FOR WORKSTATION CHOSEN THREADING
231,1039,2550,237,55,3,1,,1,1,1,1,0,1,1
183,1402,2186,100,62,2,1,,1,1,0,0,0,0,1
182,555,416,614,131,3,1,,1,0,0,1,1,0,1
168,1260,1437,631,100,2,2,,0,1,0,1,1,0,1
61,1362,3360,422,41,2,1,,0,1,1,1,0,1,0
140,1215,1578,569,96,2,2,,0,1,0,1,1,0,1
198,743,2009,158,50,2,1,,1,0,0,0,0,0,1
84,875,1723,285,57,2,1,,0,0,0,1,0,0,0
112,1318,641,494,114,1,1,,0,1,0,1,1,0,0
172,410,466,103,25,2,2,,0,0,0,0,0,0,0
164,1222,2897,159,130,2,1,,0,1,1,0,1,1,0
151,868,831,630,52,3,1,,0,0,0,1,0,0,0
216,737,1637,84,71,1,2,,1,0,0,0,0,0,0
58,1563,2781,231,90,2,2,,0,1,1,1,1,1,1
248,1116,544,150,87,2,1,,1,1,0,0,1,0,1
214,967,3239,567,104,3,1,,1,0,1,1,1,1,1
58,1533,1181,418,82,1,1,,0,1,0,1,1,0,0
52,789,2295,401,49,1,1,,0,0,0,1,0,0,0
77,1131,3939,614,128,3,1,,0,1,1,1,1,1,0
109,491,2182,66,88,1,1,,0,0,0,0,1,0,0
81,1064,1076,434,76,1,2,,0,1,0,1,0,0,1
240,1106,927,93,112,2,2,,1,1,0,0,1,0,1
205,1248,3659,92,62,1,1,,1,1,1,0,0,0,1
208,1349,3706,488,38,1,1,,1,1,1,1,0,0,1
140,1581,267,578,58,1,2,,0,1,0,1,0,0,1
165,861,3043,597,124,1,1,,0,0,1,1,1,0,0
238,749,780,366,64,2,2,,1,0,0,1,0,0,0
218,1395,3290,524,103,2,1,,1,1,1,1,1,1,1
194,1377,1007,603,71,3,1,,1,1,0,1,0,0,1
163,447,3050,631,82,1,1,,0,0,1,1,1,0,0
68,1340,2320,433,127,2,2,,0,1,0,1,1,0,1
112,873,1017,398,89,3,2,,0,0,0,1,1,0,0
126,1507,2897,614,55,3,1,,0,1,1,1,0,1,0
148,1277,1302,92,30,2,2,,0,1,0,0,0,0,1
211,1216,168,611,129,1,2,,1,1,0,1,1,0,1
203,1052,564,136,31,1,1,,1,1,0,0,0,0,1
238,1108,2814,378,78,3,1,,1,1,1,1,0,1,1
183,1055,1899,380,79,1,1,,1,1,0,1,0,0,1
226,438,720,512,64,3,1,,1,0,0,1,0,0,1
171,1317,3260,578,133,3,2,,0,1,1,1,1,1,1
212,903,1762,560,103,3,1,,1,0,0,1,1,0,1
79,1204,938,579,48,2,2,,0,1,0,1,0,0,1
154,1063,654,398,96,1,2,,0,1,0,1,1,0,1
231,1587,3596,201,116,3,2,,1,1,1,1,1,1,1
67,564,2785,446,31,2,2,,0,0,1,1,0,1,0
103,1146,652,380,98,2,1,,0,1,0,1,1,0,0
136,914,787,311,95,3,2,,0,0,0,1,1,0,0
153,722,3639,139,48,3,2,,0,0,1,0,0,1,0
173,1420,2789,606,106,2,2,,0,1,1,1,1,1,1
108,1475,532,642,65,1,1,,0,1,0,1,0,0,0
55,921,1015,123,115,2,2,,0,0,0,0,1,0,0
180,608,3615,64,36,1,1,,1,0,1,0,0,0,1
102,972,278,498,38,2,2,,0,0,0,1,0,0,0
88,1379,1169,230,48,3,1,,0,1,0,1,0,0,0
121,1395,978,393,95,3,1,,0,1,0,1,1,0,0
234,429,2964,123,30,3,2,,1,0,1,0,0,1,0
193,1124,3957,360,78,1,1,,1,1,1,1,0,0,1
234,1319,3890,566,89,3,1,,1,1,1,1,1,1,1
200,1147,508,472,120,2,1,,1,1,0,1,1,0,1
154,1580,1116,366,66,2,2,,0,1,0,1,0,0,1
175,1168,2304,68,99,1,2,,0,1,0,0,1,0,1
55,1004,193,459,97,3,2,,0,1,0,1,1,0,1
80,1579,1931,227,126,3,2,,0,1,0,1,1,0,1
211,439,205,575,58,1,1,,1,0,0,1,0,0,1
240,912,2813,208,69,1,2,,1,0,1,1,0,0,0
100,928,594,234,134,3,1,,0,0,0,1,1,0,0
235,866,2235,128,101,1,1,,1,0,0,0,1,0,1
236,1078,2620,448,76,1,2,,1,1,1,1,0,0,1
237,1291,2288,247,97,2,1,,1,1,0,1,1,0,1
179,406,2858,442,132,1,1,,0,0,1,1,1,0,0
96,1375,683,565,95,3,1,,0,1,0,1,1,0,0
120,967,3968,610,103,2,2,,0,0,1,1,1,1,0
134,1511,864,642,106,2,1,,0,1,0,1,1,0,0
124,759,1071,345,127,1,2,,0,0,0,1,1,0,0
109,476,1479,512,78,1,2,,0,0,0,1,0,0,0
98,1407,3184,128,30,2,2,,0,1,1,0,0,1,1
96,819,3395,328,127,3,1,,0,0,1,1,1,1,0
77,1042,2920,350,119,3,1,,0,1,1,1,1,1,0
119,715,804,172,71,2,2,,0,0,0,0,0,0,0
153,1278,1588,347,135,3,1,,0,1,0,1,1,0,0
205,962,1894,203,35,1,2,,1,0,0,1,0,0,0
215,588,3258,227,108,3,1,,1,0,1,1,1,1,1
187,964,708,278,127,1,1,,1,0,0,1,1,0,1
59,1300,1035,119,31,2,1,,0,1,0,0,0,0,0
91,1188,1761,226,110,1,2,,0,1,0,1,1,0,1
231,1099,2701,345,118,1,2,,1,1,1,1,1,0,1
87,1215,3274,261,49,3,2,,0,1,1,1,0,1,1
134,694,3736,553,129,3,2,,0,0,1,1,1,1,0
53,517,592,519,131,2,2,,0,0,0,1,1,0,0
231,627,2992,588,80,2,1,,1,0,1,1,1,1,1
245,1444,1549,388,23,3,2,,1,1,0,1,0,0,1
125,417,2917,444,96,3,2,,0,0,1,1,1,1,0
159,823,1778,306,86,3,2,,0,0,0,1,1,0,0
115,842,3577,146,85,1,2,,0,0,1,0,1,0,0
183,1495,839,135,70,3,1,,1,1,0,0,0,0,1
64,855,3631,372,32,3,1,,0,0,1,1,0,1,0
59,1366,676,228,62,1,2,,0,1,0,1,0,0,1
208,1405,1720,102,131,3,2,,1,1,0,0,1,0,1
174,563,1921,100,63,2,2,,0,0,0,0,0,0,0
134,994,3997,346,53,3,1,,0,0,1,1,0,1,0
