Meets Gaming Requirements,Meets Office Requirements,Meets Server Requirements
1,1,1
0,1,0
1,1,1
0,0,0
0,1,0
0,0,0
0,0,0
1,1,1
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
1,1,1
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,1
0,0,0
0,1,0
0,1,0
0,1,0
1,1,1
0,0,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,1
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,0
0,1,1
0,0,0
0,1,0
0,0,0
0,0,0
1,1,1
0,1,1
1,1,1
0,1,0
0,1,0
0,1,1
0,1,0
1,1,1
0,1,0
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,1
1,1,1
0,1,0
0,1,1
0,1,1
1,1,1
1,1,1
1,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,0,0
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
1,1,1
0,1,0
0,1,1
0,1,0
0,1,1
1,1,1
0,0,0
0,1,0
0,1,0
0,1,0
0,1,1
0,0,0
1,1,1
0,1,0
1,1,1
0,1,1
0,1,0
0,1,0
0,1,1
0,1,1
0,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,0,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
0,1,0
1,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
1,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,1
0,1,0
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
0,1,0
1,1,1
1,1,1
1,1,1
0,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,1
1,1,1
1,1,1
0,1,0
0,1,0
1,1,1
0,1,0
1,1,1
0,1,0
1,1,1
1,1,0
0,1,0
1,1,1
0,1,0
1,1,1
0,1,0
0,1,0
1,1,0
1,1,0
0,1,0
1,1,0
0,1,0
1,1,0
0,1,0
1,1,0
1,1,1
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
0,1,0
1,1,0
0,0,0
1,1,1
1,1,0
0,1,0
0,0,0
1,1,0
1,1,0
1,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,0
1,1,1
1,1,1
1,1,0
1,1,0
1,1,0
0,0,0
1,1,0
0,0,0
0,1,0
0,0,0
0,0,0
1,1,1
1,1,1
1,1,1
0,0,0
1,0,0
1,1,0
0,0,0
1,1,1
0,1,0
1,1,0
0,0,0
1,0,0
0,0,0
0,0,0
0,0,0
1,1,1
1,1,1
0,0,0
1,1,0
1,1,0
1,1,1
