Brand,User Rating,Value%,Avg Bench %,Memory Points,8-Core Points,Market Share %,Avg Months
AMD,,"10990th
","83.173 - 9286th
",76.362nd,79287th,"1.44100th
",5682nd
AMD,,"11594th
","95.983 - 10793rd
",8485th,88389th,"1.1999th
",4089th
AMD,,"10889th
","117107 - 12398th
",95.8100th,133397th,"0.3397th
",11+98th
AMD,,"10787th
","98.186 - 11294th
",82.481st,104494th,"0.9198th
",4089th
AMD,,"92.871st
","85.976 - 9488th
",76.262nd,90090th,"0.798th
",5682nd
AMD,,"81.655th
","7464 - 8678th
",76.463rd,64382nd,"0.1792nd
",7176th
AMD,,"11997th
","11097 - 12097th
",8485th,115296th,"0.2491st
",1795th
AMD,,"83.657th
","68.154 - 7870th
",69.645th,55078th,"0.188th
",57+82nd
AMD,,"91.369th
","73.367 - 8177th
",76.664th,62181st,"0.4895th
",7176th
